ProductID,Name,ProductCategory,ProductSubcategory
1,Mountain-100 Silver,Bikes,Mountain Bikes
2,Mountain-200 Black,Bikes,Mountain Bikes
3,Mountain-500 Black,Bikes,Mountain Bikes
4,Road-150 Red,Bikes,Road Bikes
5,Road-250 Black,Bikes,Road Bikes
6,Road-550-W Yellow,Bikes,Road Bikes
7,Touring-1000 Blue,Bikes,Touring Bikes
8,Touring-2000 Blue,Bikes,Touring Bikes
9,HL Mountain Frame Silver,Components,Mountain Frames
10,HL Road Frame Black,Components,Road Frames
11,LL Touring Frame Yellow,Components,Touring Frames
12,HL Road Wheel,Components,Wheels
13,ML Mountain Front Wheel,Components,Wheels
14,HL Crankset,Components,Cranksets
15,Front Brakes,Components,Brakes
16,Rear Derailleur,Components,Derailleurs
17,LL Mountain Handlebars,Components,Handlebars
18,HL Road Pedal,Components,Pedals
19,Chain,Components,Chains
20,Sport-100 Helmet Red,Accessories,Helmets
21,Water Bottle - 30 oz,Accessories,Bottles and Cages
22,Mountain Bottle Cage,Accessories,Bottles and Cages
23,Hydration Pack - 70 oz,Accessories,Hydration Packs
24,Touring-Panniers Large,Accessories,Panniers
25,All-Purpose Bike Stand,Accessories,Bike Stands
26,Hitch Rack - 4-Bike,Accessories,Bike Racks
27,Headlights - Dual-Beam,Accessories,Lights
28,Patch Kit/8 Patches,Accessories,Tires and Tubes
29,Long-Sleeve Logo Jersey,Clothing,Jerseys
30,Short-Sleeve Classic Jersey,Clothing,Jerseys
31,AWC Logo Cap,Clothing,Caps
32,Full-Finger Gloves,Clothing,Gloves
33,Half-Finger Gloves,Clothing,Gloves
34,Mountain Bike Socks,Clothing,Socks
35,Classic Vest,Clothing,Vests
36,Women's Mountain Shorts,Clothing,Shorts
37,Racing Socks,Clothing,Socks
38,Bike Wash - Dissolver,Accessories,Cleaners
